,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,16120.0,620.0,3240.0,4460.0,1200.0
mean,23010514811.17135,0.11568933870967742,0.08726848765432099,0.06691844843049327,0.07523673333333332
std,58643756867.51182,0.09686635113200992,0.07210631357446029,0.059058039867870796,0.05555020766662708
min,-0.34159999999999996,-0.6505,-0.6505,-0.25852,-0.16449000000000003
25%,2340399246.83926,0.06505,0.0435,0.029280000000000004,0.037529999999999994
50%,9101745762.240755,0.11525,0.0779,0.055895,0.06631999999999999
75%,22570450718.7475,0.1680325,0.12392500000000001,0.08919250000000001,0.102655
max,2794827926197.16,0.6045,0.6045,0.41287999999999997,0.30555
