ESG Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,73.58076502136389,74.07654834145774,73.12313457121493,71.67238014452062,70.47090890580724,69.07229023801253,68.41016326461198,65.9883035195925,64.68458570360073,63.98835824622448,62.20315457299516,62.91676869599652,59.50228984345831,58.2557793165709,53.64809524955174,51.09475459377318,41.82228867481726,40.133346282327786,36.292237643046505,34.45671324843181
std,10.75547169828159,10.25196339779521,12.115341526594216,13.49895087014979,13.52756238530882,13.07414517894528,13.314697288335363,14.046610932993824,15.24432188612027,16.97736105075028,18.30290368251618,18.471302793807993,20.096465483974544,20.993230454073522,21.440747496000462,19.920226492696152,19.635953298820322,18.187511885554237,17.403883662135772,15.939744958182075
min,55.0525580279575,53.447676245496,46.7140447625223,39.0932579106095,41.1282685346941,34.6655097500407,31.7634169913337,30.9139725736952,28.6594448210306,24.7399380401556,21.8478350759753,23.3979470980022,16.7422043798195,22.190728705299,14.5730429209223,15.5354149877395,11.9552458620007,6.79432254964766,11.5271162589305,6.17689997470511
25%,65.4289799431659,66.7983042240587,64.7648700154091,63.7366309861795,62.8936817977455,62.1057783211918,61.0188547229578,55.1936014980191,53.5170622990177,58.7253793581503,50.2827578064177,47.7842627866903,42.6186009828135,37.9424494805859,35.5641202303593,35.361272241907,25.9384243548398,27.8933963305583,23.3467729471585,23.4820784123987
50%,75.5892459789652,75.5390076368597,75.8009248467785,73.1446971617111,69.9104928634133,70.0731962000241,69.221006303108,64.8867471362996,64.8983553023546,66.6827982870948,65.844975325078,66.860598188187,62.8709258355127,62.8611485346288,54.3935288781807,52.2007487250447,38.7451516710962,39.4568608980447,32.8154916741217,33.6466990481429
75%,81.0781189847442,80.1470048022872,81.7498645266478,80.1494431026001,80.8956884708806,77.1042924844273,77.0165097199192,73.6103091381068,74.6466274123015,78.1219746375344,75.2067044634939,73.0117196467308,71.3584357526044,73.8300290936336,71.9361460800684,66.8957446917508,52.3473563235166,46.425817672891,43.5139744551697,45.6204099477825
max,94.3830760048004,95.3486859064383,95.3857798031361,94.9997690574773,93.7564636708273,94.5051525823698,93.8557880209171,91.2886149253839,92.8375022887709,92.388173236897,92.282546935224,92.5424423853372,95.1623712533978,94.931303704079,91.2904576159153,92.2742166693729,82.0561648257371,84.6595398294569,87.3224007292634,69.2088158508932
