,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,22080.0,1320.0,7860.0,8760.0,4480.0
mean,51808470732.19493,0.22376822770750357,0.16001457791536358,0.15637290643180576,0.15922610975615042
std,211096565116.5174,0.4418464858309025,0.34487234725295196,0.38397208498640495,1.241587258528301
min,-0.971557369104352,-0.7821428571261351,-0.971557369104352,-0.948871766643838,-0.926355270295568
25%,0.313625813732657,-0.010797001239347275,-0.029052980297818325,-0.0642199937982811,-0.06783839647096451
50%,4905150000.0,0.1746185977282145,0.1405205371707305,0.131263820451896,0.120207560922864
75%,22939041251.548424,0.37885312044917896,0.31756764264069726,0.3399468499028635,0.306347782178618
max,3875393000000.0,3.48148148136006,5.11538461550334,4.27462639201957,79.4561875492966
