E Scores Descriptive Statistics from 2023 to 2004 
,0
mean,56.47897960673221
std,31.823644716088896
min,0.568181818181818
25%,23.474208462378314
50%,66.14472559933691
75%,81.84794883584522
max,99.147017060226
