S Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,67.88599980769982,68.23975078704419,68.88610605756519,68.86011680665003,68.14861203067088,66.29264962042787,65.74088677239757,63.81376950135798,61.767813757918546,56.47108432932318,56.91501171426315,56.20827220392127,53.86737231010004,53.382180901727,51.52836197091055,50.03212837594672,44.95147689802205,42.18544628727227,41.338523758635574,38.957586947805225
std,15.848522524470708,15.569923449938578,15.673333425882095,16.25309817637531,16.944904839442533,17.96096513530501,17.928811878157017,17.43243596146303,17.925135460090058,20.973066408838495,19.08478744824874,21.20478110725487,22.976851874968315,21.57342796521014,21.417689694575262,21.703196440978743,21.79726583383985,20.98884278871658,18.72451854530744,19.048571657985324
min,30.3767907961829,31.8848599791398,32.1277069941325,28.3343057361195,27.9271437782076,14.5390070921985,17.2819501197689,22.7029823888857,17.1435993664437,1.2319263182229,15.4997279158353,16.0622271980047,6.99248120300752,13.4032561406689,12.3044473186748,7.66539290151121,8.97952853598015,8.61904761904762,6.6183574879227,6.99248120300752
25%,56.19982503960285,56.8886410531434,58.174010532092595,56.321865400762846,55.7141274049707,53.0058735389902,52.4284780791951,53.7951358696045,49.2507437138549,41.6677944816968,39.70029078896955,37.96737262975,34.77480107496085,36.675363765327944,35.468325847085254,35.07086591334225,27.60458121922335,25.94511039342845,27.1449350280768,22.3584640022526
50%,69.6052753918492,68.3443162761169,68.9585718811184,71.213372351381,68.7825192666825,68.4945430400675,68.6422377037809,65.7408194573138,62.3593100550438,58.9180506559945,57.2830728035895,55.3616313867979,53.9535823028646,53.1198971589178,52.8194971468297,45.0394736842105,40.137209501758,36.1932938856016,40.4352226720648,35.8085106382979
75%,81.8984088083808,80.3284811404283,81.3207765721953,82.00898092087314,81.77741149364665,79.45677486763076,77.736135399613,75.61107146283645,77.37253089088256,70.73881320108725,72.94601155100776,72.6069097399286,72.41705171170435,69.0540701537827,68.04025378254605,67.82247699788886,62.00908259149575,57.447813101756296,52.44450317124735,52.52172418104525
max,96.7134766383942,97.3077880055978,97.092131322512,96.8521371039389,97.0218883820458,96.748346702559,96.7667719193628,94.2594588723085,97.1407839934466,95.6780522569749,93.5272154831232,95.3745090071787,93.3883463157832,93.8627097338362,93.7448584094452,94.4451396436306,94.8572970538544,87.6956168831169,93.0764268013192,80.8756720430108
