ESG Scores Descriptive Statistics from 2023 to 2004 
,0
mean,54.115879367721234
std,28.70244311732247
min,3.20434811209051
25%,22.238181359567125
50%,61.78116913175617
75%,76.0526532232314
max,95.7347894761489
