G Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,67.44838664548382,66.87321659465867,67.29416649659206,66.82788814379344,66.11803124029433,64.5783376436393,62.965899918906324,61.99375342360964,60.66723405305604,60.899924822969986,60.36007045289424,61.47225971279085,60.074250090433424,59.68827656453246,57.09448347811398,55.20718640208963,52.66300456739139,52.72674355344519,50.17349550891623,49.71296386898139
std,17.421496471725114,18.256576317075947,18.304587523843487,18.993895990351845,18.602579022215295,19.65212078421911,19.681397067718915,20.515126359475637,20.329029625830504,21.047551253255087,21.087110771265056,21.153402301333138,22.011606703292873,22.148104298194422,22.174773001672754,22.24515666479326,22.824185886587212,22.311732225203052,22.05884961122716,22.2440707164603
min,8.53881278538811,11.3698630136986,6.30083276321687,8.7142857142857,8.93719806763284,8.77450980392156,8.26167076167076,7.80555555555555,5.32066993464053,2.24837939269874,0.699419993176391,0.833333333333334,3.20228494623656,2.22333000997009,1.42967244701349,0.983847283406755,4.29824561403509,1.40009965122073,1.66666666666667,3.33333333333334
25%,56.60378428657595,54.95450516951355,54.4987816992213,53.797018588137,54.59922273385155,50.609253474835654,50.75075710921895,47.322064998809196,46.286072789593604,46.478438634554195,44.5324312333629,46.188921805281254,43.34879568793045,44.04037758330255,40.231469514706504,38.1682043646474,33.663336812070995,35.101834703730745,33.528798796712195,31.99343413454295
50%,70.075329566855,70.1150152465685,70.0965537730244,70.1590931536022,68.5191930512749,68.232189899142,65.7750198358401,66.1798303740606,62.5343290267493,64.6498783414013,62.8592218623653,65.5694643474196,63.4397163120567,63.9407689305231,60.1811175337187,57.6666666666667,52.0907297830375,53.5376183358246,49.7368421052632,50.0877192982456
75%,81.03817844029565,80.8961617930773,81.6323265744949,81.87091503267975,80.556519539195,80.542848362482,79.04382917342865,79.09636397990255,77.37307680646404,78.10978099675545,77.3281045751634,78.3961649753098,78.84874171006629,77.26739153108055,74.40479943948155,72.59894206870186,70.79371243330856,70.48364135864135,67.87371545394655,67.4002911208152
max,98.0605785641757,98.7508239947265,98.5393629311768,98.0113313804301,97.3684210526316,98.8678355957768,98.04309351578,99.2609351432881,98.6299421636484,99.0192632310595,97.0914629704784,97.7846153846154,97.6607136240691,98.5272736143638,98.2725876274264,97.7279495990836,98.1234567901235,98.474610974611,97.9261388380803,98.369871402327
