S Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,75.14815020490674,75.61391859339851,75.45574933581318,74.36095353982797,72.43357115416775,70.1261647579839,69.74028917502295,66.63974629942274,66.2550257882422,64.87824037908058,62.82336362623099,62.62958475381213,59.55814328571517,57.14677359042673,54.15703555824907,52.47890155598845,45.61614360239326,41.116322237677146,39.01168026804538,35.45561893498305
std,13.928420192738319,13.611328289993462,14.545291077317886,15.617699555562067,15.598272258466302,16.533741112003522,16.642028146904256,15.59255276227561,16.554388736345174,18.314791773339124,17.675219554484094,19.68914862530172,18.90176298700427,19.678618115353913,20.94413637063057,21.11789025895229,20.14987508681762,19.630875633543276,19.117844030603514,19.85761617394094
min,45.2368142380152,48.0668061056437,44.9343011275977,45.4014398644833,39.5970491957943,31.427653412371,23.4982657057074,38.5725030491064,30.0874252502914,32.5238822331845,30.0406880890908,27.8623255536601,22.3880604676958,28.282279475797,21.048081587727,22.9635212541453,12.8685141509434,11.8189102564103,5.88256614715477,3.40403694834075
25%,66.1102995932864,65.8612033728812,64.2565477649373,64.3131816691396,58.2739430043043,56.9400808800394,62.6356546370894,57.340038935756,54.4268572319063,52.7305126973309,51.001579189885,45.6235626506413,41.957518708412,38.4668830759092,37.3300688749259,34.528670312984,28.4482758620689,25.330112721417,28.1240981240981,21.9480519480519
50%,77.8640638358507,78.8987930119071,77.3168521921691,76.9417392573588,74.9667731984409,71.0740931457188,70.5759114152228,65.9539631165583,64.8451403353364,65.4003866503867,62.8207474238766,62.0816587504567,58.2829682536427,57.3207784510807,49.1468001983623,51.8524724639104,40.1023890784983,34.849962324365,34.697474682733,32.4380165289256
75%,86.429904009964,85.6816715925364,87.7569273298343,86.3335162976311,84.2056422199187,85.1435030696839,82.6247240112018,77.4633351929834,76.9101877076595,78.2689249673456,77.6124717436461,77.7233278485959,72.7875982944441,71.4571550262202,67.4680802602571,70.4014789558268,61.7242601453127,52.9180695847362,46.096837944664,46.7220113851993
max,96.7134766383942,97.1899614937193,97.092131322512,97.1613469002155,97.6567857526992,97.6252206700141,96.7667719193628,92.5730865415096,95.5107157626172,95.3344336318666,94.6684532562828,95.655529017598,96.4450234244955,94.2399887850891,92.7296370817498,95.5515200430455,92.1923246210861,90.9062534096347,90.0501165501165,77.9546260191422
