E Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,67.1618627918036,66.90961218392059,66.0875194526112,64.46325442725771,63.188915387648215,61.100241847505366,60.17590389157616,59.265538578356086,58.63927645208121,56.23228815718901,57.00222193776217,56.983653623627944,57.55562448455687,57.97613603823155,55.716436313741085,52.937948689002674,45.88870747878128,40.97538280619299,40.9595696821473,42.38406393178668
std,18.653760227824883,18.645893410275708,19.948079871883806,21.2100282452374,21.586188348498283,22.399295490954305,22.818935779693348,23.245386558434205,23.081142356365486,24.15846513729951,23.154681651180443,23.24748613414449,23.355681410211588,23.75531190798849,24.16150042248227,24.47071904514906,25.316891062906333,25.146106472593562,26.284381273110984,24.098295160234418
min,23.4886425834702,24.2310950597467,21.5633131571996,21.5686274509804,16.2748364803159,6.28786557357986,7.06749366413232,8.81366928393175,5.95545029748093,8.79462350050585,13.0829903978052,10.5222734254992,4.52898550724637,4.84496124031007,3.77777777777777,2.5974025974026,0.673400673400673,1.21951219512195,0.205761316872428,3.29218106995884
25%,54.3336393062102,52.9418028217755,49.9168760424937,45.46475833629735,44.89766894358755,42.836937621656304,42.7839243413265,41.260056306495954,38.1802289831533,37.56750175718203,37.692383550284475,36.4847514606821,38.0990783410138,38.59198153899243,33.54935163720658,31.741236359707422,26.8687678062678,22.363796334384553,20.89439775910365,26.17585630743525
50%,69.1150224249803,70.9838906960527,68.990964560113,69.730468445228,65.6738842244808,63.8721021911887,60.9525536003139,59.7017098239924,59.5804822417726,54.144171427169994,56.535199981506096,58.85051211495835,62.1220165588982,63.0322341057635,61.9394428838836,55.2798520923521,45.8612109719718,37.9920246977103,37.76473109179875,39.614870253657
75%,80.310867308563,80.0508234512087,82.05296041156444,81.56630070322839,82.24715072931495,80.4437607791255,80.5274944405287,78.92312771924435,78.95673016437479,77.19980691324272,77.8249941575876,78.11787355238688,77.2455314997274,78.35007406417962,76.08482787667262,74.07455699343993,66.28264922999132,62.6507549738544,59.658441558441595,58.6116559514729
max,97.578593062644,95.7072133581672,96.0046517778942,96.6139662018527,95.9144404711233,96.8582616690079,95.9807520513028,96.220633299285,96.0834081873246,96.3639658637846,96.5611015490534,95.7012393998695,97.1150530647607,95.5409191416654,96.3537445202674,94.6633790737564,95.5001078373891,87.1321321321321,89.2979912014096,88.7145525851666
