,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,14320.0,740.0,4280.0,6820.0,2260.0
mean,0.16022758840083798,0.22274187972972972,0.19969666612149534,0.16926966275659824,0.19877356194690268
std,0.5612297655324788,0.8499203282098817,0.4361027151863023,0.6038213127738284,1.0338668397354518
min,-44.05555999999999,-20.870970000000003,-8.69444,-44.05555999999999,-44.05555999999999
25%,0.084,0.1473725,0.106675,0.09283,0.0965975
50%,0.13570000000000002,0.229145,0.16855,0.1483,0.16518499999999997
75%,0.2109025,0.336225,0.25829250000000004,0.2192875,0.2635575
max,17.892,2.0284899999999997,17.892,10.3485,10.3485
