G Scores Descriptive Statistics from 2023 to 2004 
,0
mean,51.99406086877309
std,29.18740071145425
min,0.699419993176391
25%,21.04297642531017
50%,56.52941347711305
75%,71.13015045173185
max,98.5272736143638
