G Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,68.01690311258157,66.9507458893759,65.91995784953656,66.49693484012253,66.4245668531282,66.83119176410204,65.88521041975648,64.71846761808037,60.68084829347753,60.38699544200217,59.11234065428279,60.56390991475883,58.31526342099732,58.3637753861338,54.64932514131904,50.494328650927606,46.90122934431167,50.37239524590144,46.39555042429881,48.760939769080196
std,16.610456014196473,17.324755736356312,17.158691004753923,17.791115756839808,17.096674053138297,17.36251612586683,17.2755166914767,18.592434848032013,19.98921994593412,20.06690127189838,19.969992058559143,20.37719087312953,22.01435536979153,23.034468407303223,21.96789988596667,21.05581699388546,21.004454719584288,20.827925035345537,20.635731992013138,21.318929125598068
min,16.4435908484953,12.5195030338053,17.9106306479748,11.4393993279405,12.323457576723,18.3325417151727,18.2909960775809,14.2915109855017,5.32066993464053,2.24837939269874,0.699419993176391,0.833333333333334,3.20228494623656,2.22333000997009,1.42967244701349,0.983847283406755,4.36318407960199,1.40009965122073,6.97427293064877,4.8310291858679
25%,57.59868909674115,56.4010351634863,54.03159466490785,54.122208853127745,56.17303113739315,54.45842561554833,54.27516463685417,52.0952892787221,46.4474944224522,46.5224072048483,44.4696779384843,45.39936251842342,42.19732108023752,41.409787275566,38.92714130832293,35.15314848406328,31.397543532338325,33.72197309417038,29.9198359433259,32.452945422241946
50%,70.7264036734833,68.8460776711618,68.2334135149058,68.48745836790584,68.14351700944255,68.43783865008811,68.2726234179013,68.71861095143811,61.76184479468985,63.50582039126135,61.04875283446715,63.6771923569804,60.445514576166104,62.2128188284414,56.6577917907398,51.3555613140998,46.473880597014954,50.8698839775073,45.53967573225255,48.69431643625195
75%,80.85979139302282,80.8856291642126,80.29314181707117,81.39004300686264,79.34828870779972,81.70837289413947,79.36484598449499,79.11491931191593,77.5598640766889,75.99619100278741,74.7199669722962,77.87473480344335,76.4867255939691,78.11408323575327,72.3413907864775,66.13054619792123,65.58128813692615,65.92917645384014,61.395413870246095,65.15620650728366
max,96.0532718646186,96.3546211720011,95.542675133151,95.1687153920599,94.1847049569054,96.0906311154599,96.0034805230122,94.9657433750015,94.1612444380576,95.6019590121858,96.734644106877,97.3226835477773,97.0662978127541,98.5272736143638,93.6646231097098,91.6439492096398,95.1511194029851,97.1027119367927,96.8653160990969,97.6520829863232
