,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,22820.0,1460.0,10020.0,9600.0,4800.0
mean,85505020566.10158,34809013536.61559,59698666505.58134,96199612164.05847,52713894147.244804
std,270445058225.59814,63080691259.57505,212432863138.49112,304686373317.17957,261608222149.22443
min,3197504.07382908,24100000.0,0.0,8022289.76697062,10949210.5071673
25%,5282128607.842489,3963375000.0,4338500000.0,3496566344.74923,874334101.174216
50%,15403562215.478,11730486000.0,13982550000.0,10780543159.006,2213685049.489135
75%,44573515750.0,36171250000.0,37102957500.0,44499831701.19692,8392419569.483835
max,3875393000000.0,527854000000.0,3875393000000.0,3653525850947.7,3653525850947.7
