G Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,70.14972451564073,70.45301666276276,71.88932769570836,71.03635876769931,68.29004942920017,65.27066616433545,62.03098661097977,60.236486863859206,59.989384923115075,59.27878557546418,58.12418979747275,59.0210698260993,57.46249391808367,56.33494359998394,54.46286398886559,54.66669743266079,53.067185310458534,52.24100024864537,50.51221439762004,49.11093136470292
std,16.062327636059294,16.66572519431212,16.157164214544476,16.587752169103325,17.668584071814625,19.840459316932204,19.659364709077796,20.89300200826703,19.98627282478784,21.35521516148137,21.277479823475396,21.575443872798278,21.630848818909598,21.43117907369506,22.218428377197757,22.05086977193525,22.87860796555867,22.21333333665593,22.4326230389647,22.275550770191686
min,24.3488342544946,24.8817567567567,20.041625041625,18.3914728682171,14.4611679711017,12.3255813953488,10.2626948215183,7.80555555555555,9.89230769230769,12.7846153846154,8.70967741935483,7.6231884057971,8.20289855072464,7.86666666666667,1.88405797101449,5.0354609929078,6.52173913043478,3.1140350877193,3.95833333333334,3.33333333333334
25%,59.409294597252924,59.37079201074115,63.7545330636904,61.82451119115002,57.72801435137375,52.13351016160723,51.060479789092554,45.2606667770602,47.03644872802918,45.41719209751997,42.837247383415345,45.64708141321042,40.11604535170713,41.642965367965374,37.212101637286594,38.03736772486775,35.71533654866985,34.6198588370056,34.39313464313465,30.593708827404477
50%,72.17434767836815,72.58566794945,74.8552103674392,74.2562592164874,71.07943511796735,69.33493714900641,63.8487972508591,64.43909550003485,62.48524496336995,60.49316999110015,60.5564937522461,60.3332080106274,59.37033586381415,59.545515840391204,56.125658761528356,57.79407323980445,52.54012345679015,52.41582491582495,51.829843112862,50.6320778647254
75%,83.14105769230768,82.69457863660766,83.69140303631639,83.04144545691832,81.41299672549673,80.00922741380757,78.2334869431644,78.0761759041459,76.66132478632483,78.21884591009041,76.02315270128506,75.74002444576188,75.49865613118698,71.73786209358023,71.79718061900397,71.37010073237485,69.68317594596371,69.71306471306472,68.8481620718463,67.29078014184402
max,97.3753255828728,98.7508239947265,98.5393629311768,98.0113313804301,96.6182698124622,96.5867889532012,97.4690322400246,95.0004139758238,95.9930338787718,93.7940379403794,97.0029341998821,97.7846153846154,97.0487692661606,98.3040935672515,98.2725876274264,97.7279495990836,98.1234567901235,98.474610974611,97.9261388380803,98.36987140232699
