,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,21140.0,1340.0,9508.0,8800.0,4440.0
mean,1.3798304724034263,2.9533632512050154,inf,1.1152993050671869,1.0964946121314754
std,1.7895562909432428,2.4440360726745163,,1.3918199045483077,1.1120873610829032
min,0.00044896092108083783,0.17131540739311782,0.0,0.0026420276886422152,0.006255486252412598
25%,0.44102464179791995,1.3414147017962055,0.5754499643952682,0.3447727952387377,0.5625647165892382
50%,0.8801978313767205,2.2523598990154703,1.153625473328105,0.7116327594618657,0.8267648639909969
75%,1.6881877608527172,3.8684981819522837,2.1108349150208428,1.3484010032687759,1.209977913495505
max,43.66081922981071,22.908719184934533,inf,20.87328725070207,20.87328725070207
