S Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,72.844904046157,73.07016828239504,72.78824071437023,70.8015503327816,68.63443193471059,67.94902737226012,65.39751169762741,62.508119653838115,59.693876146320314,58.568420937561626,57.96769739192011,58.192216448791605,56.93017451302361,55.96080724945352,53.5668212972878,50.169768335284196,43.046453542782984,39.77772223946952,37.29776733323499,31.689025396762126
std,14.994538923442946,15.460456599308673,16.02186399235846,17.184734942331108,17.634391190930902,17.389634446027866,17.94785739464884,18.176416442561134,19.438836525323822,20.263865094161485,20.19877027890984,20.622440586697742,20.249531597942237,20.343423534966583,20.938957450447987,20.830353908016935,21.532662829236113,21.865023456183522,20.206937050702816,18.91320564347783
min,16.4280675804592,19.4038776281002,19.1590994092545,19.173510479754,18.7398855313128,18.1708650055374,12.2767153514763,12.5018119045423,3.44444444444444,3.45528455284553,1.97368421052632,1.60818713450292,1.45502645502645,5.62865497076023,3.03819444444444,6.08998769699455,5.43478260869565,3.64693446088795,2.80788177339902,2.62726488352028
25%,65.66371542764642,65.42811135707647,63.55079799119167,61.78295339368975,57.08734146358727,56.957884471155374,55.060959325432094,51.13960529545588,46.79134993049225,43.06615132752595,42.5228129450595,41.72728290926223,41.61795464741847,38.87336606371525,37.348182907219176,34.33128102973707,25.08938302978,23.109269762495572,21.690171060447824,15.8644290852762
50%,74.6433981197326,76.2650121966065,75.9364004872573,75.00487616714909,72.934940385984,69.65450934374701,67.2769778900214,63.30322943192995,61.7294006838869,60.273688972353696,59.470481768066406,58.798673150347796,57.20226398607245,57.4057682249294,53.007091092696555,48.7237126869234,40.27024215829675,34.264135291129705,34.619114832052645,29.0719319851191
75%,84.1109755695948,84.1903077590778,84.14395882203263,83.13613035576486,81.50517335848365,81.4630672990553,79.20196532036675,75.90908262528934,74.29730919648642,73.99733745714498,73.51703760731876,74.09158655265385,72.73996006630502,71.6296098664678,69.85213932050499,67.27090785848841,58.96936204516788,55.92465554701527,52.006287938499874,43.18418803274707
max,97.5132993635255,97.378991375786,97.553482884557,97.2271499831227,97.9095897744763,98.1408977106386,96.3477960999541,95.6302184117884,95.7721843003413,95.3344336318666,95.4160500772156,95.8707864700214,96.4450234244955,97.6192088892114,94.8525431496926,95.5515200430455,97.3173884938591,97.1975008198278,95.2101618665373,91.7336938154782
