G Scores Descriptive Statistics from 2023 to 2004 
,0
mean,53.28925266305251
std,28.991644831742555
min,1.88405797101449
25%,22.261270171943202
50%,57.9591315186386
75%,73.00331576620934
max,98.7508239947265
