E Scores Descriptive Statistics from 2023 to 2004 
,0
mean,53.592835900329824
std,31.85154059134439
min,0.186274509803922
25%,23.832138983428095
50%,62.03098810610919
75%,77.82712525895897
max,99.147017060226
