S Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,74.40584207553879,74.69000353761044,74.21642153389092,73.36328155792003,71.50227297842088,70.06414001282451,67.77167783165345,65.36131398926459,63.2187125498725,60.80098277299974,59.512654999348975,59.553795555886055,58.68424969908524,57.58137792937614,55.009860593750375,52.12173223946399,46.00886493894221,42.02646044263013,39.01308912361799,34.4492913641406
std,14.974194917343414,15.339957919707592,15.992801324106539,16.966535125579775,17.90415334518655,18.408687582723772,19.47363873067756,20.018456015438712,20.655941754161113,21.237606799812685,21.409950738763797,21.48039234324069,21.78815263105481,21.673469686854254,22.127061001808244,21.930393108243997,22.505982179240277,22.305142575755415,20.923729717916604,19.83062295766946
min,16.4280675804592,19.4038776281002,19.1590994092545,19.173510479754,8.45042403000621,6.81001924402869,7.14160839160838,7.6808266360505,2.99411682308447,1.08405747225329,0.895758320892247,0.891472868217054,0.476795931341386,0.480947955390334,1.11045517622074,0.99052540913006,2.1583850931677,3.58942989968192,2.56147540983606,2.83671586715867
25%,66.19138888874281,66.1151210477952,64.82978244269,63.2540743106136,60.59821045478145,58.56418636356995,55.5011715415809,51.902478405552856,49.403387755401,45.88281525491675,45.37771279849855,43.83493112003005,42.686071931955496,41.53060147037115,39.7526001376204,34.7611952728872,28.6744751992265,23.806205667220752,22.11238818120335,18.698882941537697
50%,76.5762447577189,77.6877283287985,77.4200019324449,76.4275033229951,75.7524343091612,72.7677004916488,70.4421504421504,67.4889141970725,64.8451403353364,63.0601630877247,61.5186301793444,61.2289895565917,60.0309734513274,58.6939761570308,55.5945696412421,52.5035884969281,43.5604585233576,40.0512820512821,36.9959677419355,31.3453752725008
75%,86.25722782609385,86.75644920214604,86.9802193695217,86.240417624635,85.1225731987423,84.76758928502355,84.17072845330385,81.35373242497394,79.6109236625939,77.46775923318444,76.86459275612575,77.6086686798163,76.95865266244705,74.87953340860349,72.51284965252336,68.4265784398408,62.3092023364933,57.9485391583509,54.872904407345004,47.6819476819477
max,97.6409915513118,97.6146849667699,98.0547271541895,97.812855991947,98.0755419384002,98.1408977106386,98.2020704209451,97.9636460768536,97.5484354033163,98.1850996044795,97.9896761220949,98.469630624803,96.5445818885088,97.6192088892114,94.8525431496926,95.5515200430455,97.3173884938591,98.0365400972224,95.2101618665373,92.0946223214196
