S Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,77.95446063775502,78.10710245533183,78.0212899287962,77.88827137391863,76.63936449524932,75.54942297072789,73.80271740824983,71.89897157490344,69.92826499586101,66.30239901908386,64.71484616608993,64.52072170222213,63.46992314239936,61.973776694729786,59.01418419903774,56.93249683708084,50.944865016920666,46.79886185613593,44.203916896050366,40.65508915379562
std,13.660991399062674,14.229295078970882,14.175197115486412,14.87698087509567,16.023844488594115,16.994491008403603,17.90980048956182,18.920725695943954,19.268451046948485,20.50038572815803,21.176738345046147,21.74796788979555,22.48241123826493,22.493038506819865,23.17463611024415,23.334432929783716,24.041298981738674,22.829716765678434,20.06717190658143,19.703877970068177
min,36.7436546848802,30.5602817295903,30.5980614029125,28.1553087919875,8.45042403000621,6.81001924402869,11.009384479272,10.1506972563054,10.5009555508993,5.44715447154472,2.91104146576663,4.74909272932048,5.27992940484361,4.39165497896213,2.36900780379041,1.58227848101266,2.71646859083192,3.24296499656829,2.56147540983606,2.83671586715867
25%,70.475763567391,71.59074848398463,71.5762868211272,71.10909751899995,69.60068110877967,68.08640677587388,63.448261916729024,61.328884032863726,59.1855522746459,52.830789591895375,51.35620044102185,51.417432919956426,47.53962636679213,47.3674060923895,42.19110460879245,39.26152941189,33.09658077286735,28.23213422260035,29.056004885372175,25.428405715059824
50%,80.43177983607035,80.3284811404283,80.64385099101125,81.67118056356365,79.8876232321675,79.28138305349995,77.0450859635898,75.33694195223545,74.22769908114515,70.15183554954396,67.60860589951949,67.8018497723358,67.778147958746,65.25871418696289,62.1551061813761,59.60680172991975,49.897957986186455,46.5568280034572,43.27225745472285,38.31190702087285
75%,88.76788879582378,89.1764861387542,88.7836646120405,89.3615621579556,88.31883262216402,87.98975798190028,87.0667584096463,86.65205358144244,84.94059684321738,83.29102073869373,81.51347857529552,82.33635588524211,81.7493006183412,80.77172080827275,78.01432915867625,76.1721291339116,72.16329567974464,63.84653562224025,57.99663302805815,54.35555748055748
max,97.6409915513118,97.6146849667699,98.0547271541895,97.812855991947,98.0755419384002,98.0103534614665,98.2020704209451,97.9636460768536,97.5484354033163,98.1850996044795,97.9896761220949,98.469630624803,96.5445818885088,95.6803626840151,94.7640402543366,94.4451396436306,96.6495898368923,98.0365400972224,93.0764268013192,92.0946223214196
