S Scores Descriptive Statistics from 2023 to 2004 
,0
mean,54.73626541067716
std,26.934711860351168
min,3.40403694834075
25%,30.07574095999125
50%,57.33040869341835
75%,76.91807559508433
max,97.6567857526992
