E Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,73.42260106426586,73.57328514533381,73.49668713977825,72.53627093912877,71.16468714577331,68.9070118082143,67.19327145070046,65.98531652181799,65.10102370770383,64.03747246044148,63.091514208463686,63.34515387318689,62.194829144912006,61.867147067306384,58.82606123412729,53.92140345186353,47.773766960712095,43.159012716020506,40.82545444363018,38.38849468071875
std,16.805838955435224,17.468982131164292,17.798420522387122,18.39854688423347,19.031083392777195,20.81065577703227,21.397205617639518,21.93013273791215,22.440292038248305,22.772452472486364,23.2560904048388,23.666624115530578,24.250666588690144,24.73122501309094,25.053346715500915,25.716215241450833,25.196444690738357,24.702178264040455,24.16841251083315,22.44653098005372
min,17.6685965634123,6.42525476660092,6.58284023668639,6.04809563082527,4.01960784313725,3.743961352657,0.798525798525798,1.69270833333333,0.517429193899782,0.5331088664422,0.58641975308642,0.606641123882504,0.606641123882504,0.615783503484038,0.186274509803922,0.198412698412698,0.409130060292851,1.21951219512195,1.19047619047619,0.568181818181818
25%,64.9405394828884,65.24856750231109,65.2148213313144,63.611340563031696,60.62512265490875,57.03135117215165,53.76708682914607,52.8068410462777,52.1143371878666,50.1035277066025,49.50080561614935,49.00031597573305,46.305030570197026,44.213482907858,39.03296147305,32.32992085207065,26.6812865497076,23.644911071448178,23.8873106060606,23.3333333333333
50%,76.1709358267363,77.063823387292,77.3559604820672,76.55346486802355,75.360294135627,73.8679391545361,72.19638341954351,70.8526383526384,69.7555827349483,68.1291528027921,67.23951540555505,68.3446479349516,67.8634517819178,67.12357376968384,64.3441558441559,57.67752537224975,48.796145983646,41.8124593892138,36.7213804713805,33.546218487395
75%,85.69208629080885,86.68443260369929,86.434158853252,87.05851481485429,85.35110579511252,84.95191542579587,83.71689828442061,82.4264277389277,82.7975016102926,81.9653442772458,81.66640277961032,82.23361208581238,82.4968990629681,82.42454198792115,79.24061958963425,75.65418923121373,67.62153418389946,63.65303416269107,59.7166108823791,54.2753623188406
max,98.476882719492,98.3097940930758,98.5825798982213,98.6859980265985,99.147017060226,98.9066193680942,98.4665241074926,98.2366855967446,98.5458059150293,98.5928181137575,98.7646734141496,98.7428809992664,98.7305900621118,98.9351785714286,98.5616955347211,98.3693942302565,98.0951607413596,97.6296296296296,96.696127946128,97.2222222222222
