,MSCI World,NASDAQ 100,S&P 500,STOXX 600,FTSE 350
count,21300.0,1360.0,10020.0,8860.0,4540.0
mean,30759048650.625946,89849134076.6923,40092353050.1375,20699955258.80406,10988291624.926258
std,78757773743.79744,254934554531.47552,111854341300.03267,35066412344.58024,28141990819.885902
min,1755172.66927424,360968613.84,0.0,10363401.9452888,9375489.49060913
25%,6142069013.561148,9771140171.6575,5663589525.797498,3287909633.5530624,788678925.800078
50%,13186661523.939,26853659486.885,14724607357.36995,8028580033.593575,1934131870.886075
75%,29950803723.76345,69426760952.27498,34630890915.825,22137954332.001724,6730116124.219313
max,2994371342560.0,2994371342560.0,2994371342560.0,417159567847.805,280180052909.152
