G Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,71.47534667241483,71.75926826887707,68.60602042973278,66.71593486287797,67.59756711926363,68.15057173052999,68.37839685278752,66.73432486040711,64.33137136498088,64.15733121153346,62.937027615051605,64.00294625016666,61.405402969045234,62.79489806010529,54.72589610758253,54.64094068468423,46.56608989088372,51.664531468242174,48.05102514260399,50.023424120330006
std,14.225171772251382,13.313414996558944,16.32306102787229,18.24415026714077,18.13284553498244,16.759769918992234,15.253660553510842,18.10595642058416,19.890815442011426,21.145875425473918,23.15650741767305,23.14203654203489,25.590980939634196,25.162724673211727,23.363433031284004,22.538210004780154,22.715339071393945,23.971538024004925,22.120407311624408,21.002102696715564
min,39.7587267139765,44.6151943048303,35.1354970725585,28.4898275018483,31.616292866227,26.672032590697,35.483385770271,20.1303873126076,21.6998856769557,16.1540729162382,11.9720232002729,14.6768707482993,5.44034562977734,6.32172131147541,9.67554644808743,5.51639745472345,7.87562189054727,7.36920777279522,10.8109619686801,10.5299539170507
25%,61.4223363822412,62.821878307527,60.8729930358425,53.9657565369902,53.8447794593196,59.214495835215,57.3749717748005,54.9263771924843,50.6080746879633,51.9873532068654,43.5720734535717,46.5033754598858,45.2116935483871,45.4093481654957,39.3708528493365,42.0019579050416,27.7636815920398,33.7369207772795,29.7458364404673,32.4807987711214
50%,71.0291561811348,71.4330693087252,67.4240053281948,68.7500781339248,66.8382292070883,67.3246552839219,67.8033424908425,71.5223318858764,67.0864003853442,71.8731917126398,67.4420289855073,72.140332272888,61.7538353456512,67.274842140246,55.2724937233608,55.5604503181596,47.6666666666667,51.1659192825112,43.6023916292975,54.0286850738902
75%,82.8801293142135,81.3820912697991,81.9857786269281,83.0515500692967,84.638637951106,82.3726635807115,81.1476109215017,79.9693627450981,79.3892869327875,78.0175417914907,80.309967465247,81.5757375957884,81.9523865784499,84.572843481655,74.4473638115257,69.7389076041577,62.7014925373134,71.6458822692007,66.3726955655207,65.0307219662059
max,96.0532718646186,96.3546211720011,95.542675133151,94.3565428809756,93.5279795627991,93.9432790065968,94.6550096592905,94.9657433750015,94.1612444380576,95.6019590121858,96.734644106877,95.3764665286405,97.0662978127541,98.5272736143638,93.6646231097098,92.8856128856129,92.8140547263682,91.7232587064677,88.1531069827034,88.9918198138175
