E Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,76.49361418688486,76.64864637302912,76.049304921096,75.46525261569575,74.50737635850531,72.82120126045372,71.98967844480102,70.64063345964253,70.30017293249514,68.93257703040726,67.83344532615858,68.61283547159928,67.3929073904685,66.68236039924793,64.92658517800987,59.764542914631726,51.6328471231666,46.61143666268795,44.703285821351564,42.26046794580264
std,16.17746302882264,16.347612787465195,16.6859625395892,17.304605679623556,18.37682613414796,20.233107241393622,19.871070253181472,20.411064536723167,20.354219246875207,21.117493036637445,21.639145340453688,21.476870892188884,22.655128382937264,23.226311481116483,23.601718996498164,24.680343566336937,25.010463433107006,24.640939500852195,23.556840789465593,22.479719928288617
min,21.8217678259739,21.9706632653061,14.9925595238095,18.5554443675829,8.59375,5.23097826086957,6.89797794117647,1.69270833333333,9.02777777777778,1.60965794768612,2.25694444444444,3.21691176470588,2.5390625,2.25694444444444,3.22800636508297,3.12339989759344,0.613154960981048,1.21951219512195,1.6025641025641,0.568181818181818
25%,67.02903160527775,68.86950022157146,67.22571188987487,66.60489066117213,64.612652639322,62.119908776307476,60.4180235415027,59.4065641624395,56.69901605101413,55.1608132020459,54.147465437788,55.1458449279071,54.7166148953822,53.5569106040668,48.1049305358112,41.29746863442515,31.991946778711476,26.8113342898135,26.310916179337227,25.8145363408521
50%,78.80915374672264,78.79443534687846,78.2425739748978,78.99370750130319,79.85479824729114,78.23720860146184,77.2775806369556,76.4351841041527,74.32160622221551,72.7640297355853,71.933311786253,73.8802767417025,73.1985294117647,73.8192785475394,71.52914964906836,61.3174603174603,53.090046363372906,48.017862401333,43.119070922685054,41.8518518518519
75%,90.32398069844695,89.92442427111536,89.32990352944658,88.80236495794738,88.53899914887235,88.08362032937606,87.4295661842304,86.5025704607517,86.8941727787668,85.66201621773635,85.0326157860404,85.45182511720776,85.3669912707594,84.10492219328123,82.77141572300123,81.54012654012655,71.29296436216745,65.6845605375017,62.1155638397018,57.407407407407405
max,99.0571403965239,99.0659779274131,99.0184765418286,98.6859980265985,99.147017060226,98.9066193680942,98.4665241074926,98.2366855967446,98.1190925317431,98.5928181137575,98.7646734141496,98.7428809992664,98.7305900621118,98.9351785714286,98.5616955347211,98.3693942302565,98.0951607413596,97.6296296296296,95.7841146794635,97.2222222222222
