ESG Scores Descriptive Statistics from 2023 to 2004 
,0
mean,50.09102833811611
std,25.937841632022234
min,1.01961349833372
25%,25.67146459163762
50%,53.63815697820918
75%,68.59980000060278
max,95.3857798031361
