S Scores Descriptive Statistics from 2023 to 2004 
,0
mean,52.28432752177788
std,30.879000945634843
min,0.476795931341386
25%,21.625200350950863
50%,58.25636276096043
75%,76.6483317573206
max,98.469630624803
