ESG Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,67.99060990504013,68.15559472104992,68.5133145550519,67.78672433216865,66.13837048933316,63.45603136224857,61.85249242869954,61.211666859405135,59.84314545835896,55.78755498449354,55.32088529653916,55.8217930555963,54.04773465806716,53.37357882832432,52.27854355679233,50.14012023569731,45.245082190862284,41.8326750740533,39.65595747124703,38.01738986674588
std,12.376446598350203,11.902012132293061,12.551592782496447,13.00882421085201,13.370715028515134,15.075562779373199,15.232071930879794,14.843267866308965,15.03068213513085,18.08101928972267,16.818566606111023,18.042449215542938,19.21696190514619,18.43053054090304,18.579435625121853,18.737880783563728,18.309249154114816,18.175939595127446,17.823084604563782,17.6549899653221
min,33.2543829117526,34.1490384666755,31.196980533014,30.6867682169044,39.6055538703443,24.3952333045191,29.7914951342009,24.6757179507732,23.9644818234886,1.01961349833372,15.7873786176573,15.3847927161223,12.4959196256937,10.6966184193956,10.1898506989744,9.85600687728346,11.2061309030654,8.25990420718204,9.19732943113222,7.39964129345359
25%,59.88196052809482,58.458391535607525,59.51892096354908,59.4626101543806,56.054675482037545,54.197919680661954,51.1282681594082,50.25739903476008,49.96338299723688,42.170064169939046,44.8028507127135,43.77313093394463,41.24685492074915,38.31340824957598,37.804085406387024,34.13985821242453,30.77577870411675,28.61405689883475,26.003380138592426,23.54821339611585
50%,69.12118289874014,68.99900163446205,69.51086067133895,67.66318469682855,66.74467519534565,62.5331824091407,61.90931990118235,60.6026596869931,59.8801829275567,56.4650161353663,55.185501251187745,56.417862484446,55.21038524913655,52.7601875076684,52.546350914703396,50.338557903855246,44.20287001300795,40.1572265558769,36.57389330052265,38.11947305679625
75%,77.04399627323642,76.4512082357292,77.25949377337051,77.92158619308162,75.5593723915446,73.09911974345417,74.01645672539195,71.84149998744144,70.78463477172897,69.64244795800431,68.85925633725545,69.16676902999527,67.11102585099087,68.3663013943459,67.36536531783989,62.89738592395095,58.227518624726855,53.90273512809405,52.848293712696574,50.0814300777377
max,94.3830760048004,95.3486859064383,95.3857798031361,94.9997690574773,93.7564636708273,94.5051525823698,93.8557880209171,89.6914800626949,90.1772720448876,91.1388171936319,87.0775263541212,89.2564314393112,87.582212091947,89.4156114052934,89.1751134770227,91.785396065311,86.9554883064235,85.2807073086945,81.3162465315326,81.2108813063363
