Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
ANDR.VI,Andritz AG,Machinery,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),0.23399999999999999,0.23929999999999998,0.2299,0.16809000000000002,0.1014,0.1681,0.2,0.2175,0.2438,0.295,0.057,0.23399999999999999,0.247,0.223,0.15381999999999998,0.26382,0.29625,0.31882,0.26102000000000003,0.20679999999999998
AAL.L,Anglo American PLC,Metals & Mining,LONDON STOCK EXCHANGE,0.11199999999999999,0.2189,0.33270000000000005,0.1288,0.1433,0.139,0.1559,0.1242,0.0385,0.07629999999999999,0.07719999999999999,0.07397999999999999,0.16691,0.16488,0.09284,0.22727,0.22392,0.20001999999999998,0.13513999999999998,0.111
ABI.BR,Anheuser-Busch Inbev SA,Beverages,EURONEXT - EURONEXT BRUSSELS,0.0793,0.0909,0.0837,0.05299,0.11529,0.09910000000000001,0.1107,0.08553000000000001,0.18489999999999998,0.17670000000000002,0.17345,0.1852,0.1773,0.12279,0.12953,0.10541,0.13282,0.11289999999999999,0.09969,0.08826
ANTO.L,Antofagasta PLC,Metals & Mining,LONDON STOCK EXCHANGE,0.0808,0.0693,0.17449,0.0713,0.068,0.0695,0.10619999999999999,0.0564,0.0009,0.0933,0.09539999999999998,0.20670000000000002,0.2,0.18278,0.12507,0.14867,0.31218,0.4036,0.31678,0.3532
MAERSKb.CO,AP Moeller - Maersk A/S,Marine Transportation,NASDAQ COPENHAGEN A/S,0.06480000000000001,0.5382,0.4826,0.0984,0.018000000000000002,-0.006999999999999999,0.01151,0.021400000000000002,0.08257999999999999,0.12300000000000001,0.094,0.08921,0.07139999999999999,0.16017,-0.04723,0.11118,0.12957000000000002,0.11818,0.1746,0.2024
ARDS.AS,Arcadis NV,Professional Services,EURONEXT - EURONEXT AMSTERDAM,0.2146,0.14599,0.18100000000000002,0.1424,0.1258,0.1673,0.10220000000000001,0.0906,0.14429999999999998,0.1663,0.1966,0.21209,0.192,0.21058,0.20699,0.33405,0.27457,0.23097,0.2003,0.1346
MT.AS,ArcelorMittal SA,Metals & Mining,EURONEXT - EURONEXT AMSTERDAM,0.09089,0.2075,0.34009,-0.023700000000000002,-0.0134,0.1736,0.1125,0.0642,-0.0095,0.0294,-0.022099999999999998,0.0088,0.03949,0.061059999999999996,0.00193,0.25738,0.17907,0.2419,0.4207,1.1183
AHT.L,Ashtead Group PLC,Trading Companies & Distributors,LONDON STOCK EXCHANGE,0.25801999999999997,0.30896999999999997,0.2864,0.23829,0.2766,0.3136,0.2813,0.3015,0.3292,0.3245,0.3099,0.25558,0.1664,0.04095,0.0022,0.12377,0.17579,0.16091999999999998,0.29418,0.1902
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.19519999999999998,0.25120000000000003,0.2475,0.16239,0.19949000000000003,0.0934,0.09449999999999999,0.0834,0.1012,0.10189999999999999,0.0416,0.015700000000000002,0.1812,0.33903,-0.28651,0.05772,0.20485,0.1459,0.0103,0.106
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.7042100000000001,0.59354,0.49014,0.2686,0.2139,0.2323,0.20670000000000002,0.1617,0.1745,0.1565,0.1848,0.27440000000000003,0.4718,0.44927,-0.0802,0.18768,0.32128,0.32298000000000004,0.2007,0.1859
ASSAb.ST,Assa Abloy AB,Building Products,NASDAQ STOCKHOLM AB,0.15349000000000002,0.17079,0.16969,0.1426,0.17600000000000002,0.1752,0.1764,0.17739999999999997,0.198,0.198,0.175,0.2043,0.191,0.205,0.19116,0.20001999999999998,0.22911,0.12446,0.2032,0.1412
GASI.MI,Assicurazioni Generali SpA,Insurance,ELECTRONIC SHARE MARKET,0.4413,0.128,0.09599,0.0711,0.10278999999999999,0.0949,0.085,0.08651,0.14,0.09772,0.125,0.0068000000000000005,0.0519,0.09970000000000001,0.07861,0.050910000000000004,0.15725,0.13254,0.11939999999999999,0.0851
ABF.L,Associated British Foods PLC,Food Products,LONDON STOCK EXCHANGE,0.13277,0.09788999999999999,0.0895,0.06559999999999999,0.0681,0.1164,0.1255,0.1211,0.1265,0.12619999999999998,0.1369,0.1307,0.1188,0.11257999999999999,0.11332,0.09173,0.09325,0.09669,0.09976000000000002,0.11380000000000001
