ESG Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,74.75139811145155,74.92528015082173,75.1740896450266,74.78197332386237,73.1100166125222,71.30360890416685,69.28410048361872,67.51609503279735,66.3137242470437,64.22976040818476,63.146118059085474,63.45736352389003,62.272923229567375,60.93791716762696,58.67827020204118,56.177400911207805,50.25493274403898,46.28128843674655,43.5593674260299,40.62749550515567
std,11.30745319109986,11.813744136934616,11.993757628346446,12.65461329107296,13.357966043005192,14.5771629799132,15.057823631661536,15.47248148649332,15.983982863572331,17.181378263579465,17.872729627646862,18.21898193582918,18.662889693300915,18.851326754196407,19.566170264926985,19.82655036766562,20.301651075066097,19.7500797482132,18.019773060626783,17.233492338239785
min,41.4408739833429,33.154909815999,32.8866600094888,29.2201036205052,22.3673063525055,21.850806380752,16.4371554592781,12.2993243395196,9.45616883116882,7.91728606822945,8.37285677285677,7.98349630062191,11.5498845818762,9.60878993560308,4.43174924165824,5.60235017626322,3.69519450800915,8.74027316754638,5.36365089514066,3.20434811209051
25%,67.94083110037884,68.5361657812176,68.45264497130498,67.84870874714548,65.11060060965225,62.0398752994508,60.012931555356026,58.93029534989335,56.21783508501417,53.179926374615675,52.138313585642976,52.1942292114351,51.085416383688774,50.11939669778383,46.84025723912315,41.56987657330435,32.683830390465076,30.708818108362127,30.631949749596824,27.082144145344223
50%,75.8250458596941,76.17543844191445,76.77408023334735,76.62204688429534,75.2547651521643,73.4455114706179,71.98393516599384,68.58201525221115,67.9133226625872,66.5161363352162,65.47883751060405,66.60503673092714,66.09986514590845,63.1407408159028,61.52246296406155,58.6957537424596,51.2082746432665,46.5663971141202,44.26351699807175,41.473889036535354
75%,83.54780288651108,83.2112736565598,84.27815371736803,84.32887431229614,83.4721579627684,82.36580743337547,81.18764567392893,79.8995661039847,78.56017095931043,76.68835858684207,76.01172481700372,77.02959427533105,76.9443415223685,75.0354550731967,74.61204741084211,72.84564684038527,66.46993092362224,61.474420171824804,55.8174370457312,52.49714000847387
max,94.5502657983188,95.3486859064383,95.3857798031361,95.0516448295486,94.6339555761973,95.7347894761489,94.9216892112571,93.5040763141555,93.0301641570423,91.6050711205046,94.5668532624077,94.539129137785,93.5471295362736,94.0500310063767,93.1612376632351,91.785396065311,90.75964266073,91.8506638267708,83.1670352638688,81.2108813063363
