Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
BKR.OQ,Baker Hughes Co,Energy Equipment & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),36945000000.0,34181000000.0,35308000000.0,38007000000.0,53369000000.0,52439000000.0,57050000000.0,19034000000.0,24080000000.0,28827000000.0,27934000000.0,26689000000.0,24847000000.0,22986000000.0,11439000000.0,11861000000.0,9856600000.0,8705700000.0,7807400000.0,6821300000.0
BIIB.OQ,Biogen Inc,Biotechnology,NASDAQ/NGS (GLOBAL SELECT MARKET),26844800000.0,24554100000.0,23877300000.0,24618900000.0,27234300000.0,25288900000.0,23652600000.0,22876800000.0,19504800000.0,14314700000.0,11863335000.0,10130118000.0,9049604000.0,8092493000.0,8551854000.0,8478991000.0,8628815000.0,8552808000.0,8381717000.0,9165758000.0
BKNG.OQ,Booking Holdings Inc,"Hotels, Restaurants & Leisure",NASDAQ/NGS (GLOBAL SELECT MARKET),24342000000.0,25361000000.0,23641000000.0,21874000000.0,21402000000.0,22687000000.0,25451263000.0,19838973000.0,17420575000.0,14770977000.0,10444460000.0,6569742000.0,3970671000.0,2905953000.0,1834224000.0,1312421000.0,1350856000.0,1105648000.0,754028000.0,542082000.0
CSX.OQ,CSX Corp,Ground Transportation,NASDAQ/NGS (GLOBAL SELECT MARKET),42212000000.0,41912000000.0,40531000000.0,39793000000.0,38257000000.0,36729000000.0,35739000000.0,35414000000.0,34745000000.0,33053000000.0,31782000000.0,30723000000.0,29344000000.0,28141000000.0,26887000000.0,26288000000.0,25534000000.0,25129000000.0,24232000000.0,24605000000.0
CDNS.OQ,Cadence Design Systems Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),5669491000.0,5137071000.0,4386299000.0,3950785000.0,3357225000.0,2468654000.0,2418714000.0,2096908000.0,2345515000.0,3209556000.0,2428601000.0,2287003000.0,1761269000.0,1732116000.0,1410587000.0,1679853000.0,3871150000.0,3442822000.0,3401312000.0,2989839000.0
CHTR.OQ,Charter Communications Inc,Media,NASDAQ/NGS (GLOBAL SELECT MARKET),147193000000.0,144523000000.0,142491000000.0,144206000000.0,148188000000.0,146130000000.0,146623000000.0,149067000000.0,39316000000.0,24388000000.0,17295000000.0,15596000000.0,15601000000.0,15737000000.0,16658000000.0,13882000000.0,14666000000.0,15100000000.0,16431000000.0,17673000000.0
CTAS.OQ,Cintas Corp,Commercial Services & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),9168817000.0,8546356000.0,8147256000.0,8236823000.0,7669885000.0,7436662000.0,6958214000.0,6844057000.0,4098815000.0,4192460000.0,4462452000.0,4345632000.0,4165706000.0,4351940000.0,3969736000.0,3720951000.0,3808601000.0,3570480000.0,3425237000.0,3059744000.0
CSCO.OQ,Cisco Systems Inc,Communications Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),124413000000.0,101852000000.0,94002000000.0,97497000000.0,94853000000.0,97793000000.0,108784000000.0,129818000000.0,121652000000.0,113373000000.0,105070000000.0,101191000000.0,91759000000.0,87095000000.0,81130000000.0,68128000000.0,58734000000.0,53340000000.0,43315000000.0,33883000000.0
CSGP.OQ,CoStar Group Inc,Real Estate Management & Development,NASDAQ/NGS (GLOBAL SELECT MARKET),8919700000.0,8402470000.0,7256871000.0,6915420000.0,3853986000.0,3312957000.0,2873441000.0,2185063000.0,2079571000.0,2070483000.0,1256982000.0,1165139000.0,771035000.0,439648000.0,404579000.0,334384000.0,321843000.0,275437000.0,248059000.0,232691000.0
CCEP.OQ,Coca-Cola Europacific Partners PLC,Beverages,NASDAQ/NGS (GLOBAL SELECT MARKET),32284550781.8966,31370933219.1781,33069595070.8228,23494137762.5794,20945900499.9664,20891824938.0677,21825553916.0999,19520605550.8831,7597658583.20392,8525978346.33763,9525000000.0,9510000000.0,9094000000.0,8596000000.0,7972000000.0,15589000000.0,24099000000.0,23366000000.0,25357000000.0,26461000000.0
CTSH.OQ,Cognizant Technology Solutions Corp,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),18483000000.0,17852000000.0,17852000000.0,16923000000.0,16204000000.0,15846000000.0,15221000000.0,14262000000.0,13061000000.0,11479000000.0,8134718000.0,6521571000.0,5507933000.0,4583074000.0,3338240000.0,2374560000.0,1838306000.0,1325981000.0,869893000.0,572745000.0
CMCSA.OQ,Comcast Corp,Media,NASDAQ/NGS (GLOBAL SELECT MARKET),264811000000.0,257275000000.0,275905000000.0,273869000000.0,263414000000.0,251684000000.0,187462000000.0,180500000000.0,166574000000.0,159186000000.0,158813000000.0,164971000000.0,157818000000.0,118534000000.0,112733000000.0,113017000000.0,113417000000.0,110405000000.0,103400000000.0,104694000000.0
CPRT.OQ,Copart Inc,Commercial Services & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),8427764000.0,6737879000.0,5308864000.0,4562143000.0,3455261000.0,2547617000.0,2307698000.0,1982501000.0,1649820000.0,1799952000.0,1506804000.0,1334481000.0,1154000000.0,1084436000.0,1228812000.0,1058032000.0,956247000.0,1014600000.0,894705000.0,793528000.0
