ESG Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,70.2060088310112,69.90634136968178,69.39305163396308,68.39225536959508,67.05850209571062,66.05923701203263,63.9765004689361,61.82004573919403,58.698686896327374,57.73666368552251,56.93612634203753,57.31189335068988,55.32702893562772,54.48548345893141,51.21356013071982,46.4283891565896,39.817830291613554,38.3980717415303,34.5436127859683,32.29864560434235
std,11.723334691124572,12.516260739153132,13.033629509824742,13.617349553980798,13.823672629096382,14.307710675504048,14.891073327549233,15.850297458513113,17.177618561787714,17.63910362960387,18.111409665184972,18.338580001790323,19.085372477416023,19.81722357635152,19.626248160923623,18.600988242919637,18.601159479499536,18.38429762780161,15.922410932470413,15.069856207132004
min,25.4692698966231,24.9948333715227,22.4815312742697,23.9683178605936,25.2432272134543,27.5161442006269,16.4671180124017,10.9827420461749,5.80957891436772,2.45714473546355,2.48580440701243,1.90054743298317,2.9584834395412,2.80938700479233,3.95825261011209,2.67377718569524,4.26126007009113,3.21468188950773,4.17832559515947,5.7880892979593
25%,64.13902898018345,63.54901677970728,62.9748875641651,61.35752958142375,57.1309365450797,56.12679747615245,55.27559786364575,50.91127516588315,46.92732600868938,45.47070080476965,44.54977134066735,44.445693782008,40.74473299658805,36.89097938398615,35.9859386150167,33.52002704714327,24.601597391078727,26.173609589797824,23.355178166682926,21.5344755451767
50%,72.38593689004566,72.0121990918515,71.73788206720505,69.73220952554536,68.7019458607286,67.70097203716325,66.02542984483091,63.9101713090549,60.38795119424745,59.816209135224796,59.8265300446963,59.998222065178254,57.1604701499043,57.02505143185315,51.623263865578295,45.43696842856416,37.72830591026615,34.15129702809375,31.9160310760542,30.0858164149358
75%,78.59923226786515,79.565403537465,78.20886046001488,78.8834393737379,77.90662513810629,77.07458150353695,75.26012233774276,73.59541620839539,71.92330804513459,70.80010274957992,70.58805165269197,70.90141360617037,70.82472584156037,70.65213013438033,67.10019180856098,58.2843612018694,52.34598191548125,50.14373767626883,45.90812314547,42.46973541813515
max,91.843799516836,92.807512943541,93.4508316324528,93.2751597483649,92.8324043399728,93.061737832743,90.6017182898486,91.2886149253839,92.8375022887709,92.388173236897,92.282546935224,92.5424423853372,95.1623712533978,94.931303704079,91.2904576159153,92.2742166693729,87.6340585917176,86.5161493708254,87.6249617121315,85.80497395589
