G Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,70.60798421827141,71.10514316165651,71.84219287969587,70.45236188271495,68.0271775685364,63.09304334584803,60.4685676399984,62.01676848989774,60.95644137834223,57.241002198443184,54.03057474884511,56.24706367855814,53.79567435872559,52.5673097972717,53.20258405452616,52.08539843388255,49.49229927789429,49.980940918095556,47.25209449818701,47.93131083524285
std,14.27016818549134,14.900411427839877,15.36206882856442,14.386472377278253,15.543174504276562,18.02099711136555,18.966081374718993,19.46686301885593,18.690825982854882,22.28396833704659,21.53516790181324,22.241847158355167,22.303240407410865,21.53683146109472,22.09757546347951,22.337475749492302,21.558934692337452,22.52892521348629,21.88128656889887,21.910478003031695
min,33.0756758590278,32.5792205149079,28.3100423291801,31.9179236290865,32.4724095646842,14.7918857860645,18.7616624257846,9.03888612905006,11.4772796200128,1.77435897435898,4.12947499760053,5.6694722377292,8.53375527426161,5.85185185185185,2.78306878306879,13.2948099614766,1.91919191919192,5.7,5.81168831168831,3.73913043478261
25%,62.275591228893475,60.256153770572354,62.3587488951229,61.381624865632475,57.5551513198814,48.93838317420667,48.832848661092896,48.34168184578022,48.900339674230025,39.312281561326174,33.85052034058655,37.91712616780933,38.131235431235424,35.157407407407405,34.3655804816851,33.84555976202835,36.1150339733673,30.708143208143223,27.211082836082824,29.53807740324595
50%,70.41933882805274,72.5952380952381,73.17414820938384,71.56980335565001,68.9067146592871,64.95467983705885,60.4705515010859,65.33128607165025,61.7621645831339,55.894004251873795,54.3738773943208,58.382121201110294,52.35645272601795,50.21911663216015,57.806830749929844,54.456242840778955,47.993241695303595,50.86948349474125,49.2757966507967,48.600033791196395
75%,81.7633482430737,82.23999918097518,83.66770453590645,80.85660287093918,80.62797850382503,77.16679321690715,76.18899654205,77.89688029065556,75.78722937892573,77.4862975665524,69.58122431928237,72.82568929835628,71.77785547785547,71.13917644352429,70.73199467956857,68.44963517875891,64.83247422680415,68.60334110334111,61.8511696636697,63.83536061843547
max,94.8457311488755,95.4493383825714,97.6207007669014,98.0113313804301,95.802633665674,96.5867889532012,97.4690322400246,95.0004139758238,95.9930338787718,92.4362994172348,97.0029341998821,97.7846153846154,97.0487692661606,94.9859673337934,96.1646494979829,97.7279495990836,98.0775058275058,98.474610974611,97.9261388380803,98.36987140232699
