ESG Scores Descriptive Statistics from 2023 to 2004 
,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
mean,71.73132593428996,71.69563247272353,71.61325123324396,70.80287184188397,69.41413452199978,67.73891020873059,65.80161467208349,63.985184284692096,62.200357774757656,60.897516892347454,60.01229552494101,60.3143416431554,59.05794363614132,58.14655166743487,55.45261963556726,52.00963701596749,46.185217420378024,42.54611666701725,39.50231089251187,36.56217767846471
std,12.057214641018666,12.862132065493567,13.426115153271024,14.338966874616373,14.701281603735666,15.302524350822512,15.871234344213478,16.48010164868547,17.301175470959617,17.78613547438258,18.29943046060951,18.44235970986512,19.12266614782837,19.431677298965685,19.75128082007579,19.608680315289615,19.602323288517148,19.347381404435794,17.87212244267291,16.90622573161032
min,25.4692698966231,24.9948333715227,22.4257645506657,18.4925633592046,15.9327258509689,16.144516791244,10.3889435969926,6.31548979811675,5.80957891436772,2.45714473546355,2.48580440701243,1.90054743298317,2.17207359211138,2.80938700479233,3.95825261011209,2.58304833107983,4.26126007009113,3.21468188950773,4.17832559515947,3.20434811209051
25%,65.09786089801955,64.85754919482409,64.22252370052661,63.1509104536773,60.38378471309445,58.017708953647954,56.72028990643845,53.5318229915557,50.920141163275346,49.4514795309213,48.6858446059566,47.90557822312935,46.529945517191905,44.6446430759386,40.7261060839041,37.77936249728885,30.638720601495102,26.9151858302851,25.29639894637015,23.2665655156948
50%,73.4790965120213,73.7346147184366,73.6250388877674,72.8570884962551,71.7226840670154,69.6085792441886,68.4550514327811,65.7483745925436,64.6202045244285,64.2660033116532,63.4439923987159,64.0105411012248,61.715177113697,61.2800446939271,57.7343494526919,53.9005023753259,46.3020505465868,41.4895829652603,38.6586452762923,35.6507421625306
75%,79.95847788758834,80.73228053724739,81.46402490483189,81.4509849869923,80.68170086588691,79.23958255986345,77.46054371209925,76.80114944902145,74.75270903814936,74.08688062985371,73.68766935606291,73.7662217745042,73.98288736417865,73.38231479995915,70.95621095532354,67.3877838893065,61.82677889056135,56.94775882057455,51.4476448955508,47.89024424659985
max,94.5502657983188,95.3486859064383,95.3857798031361,95.0516448295486,94.6339555761973,95.7347894761489,94.9216892112571,93.5040763141555,93.0301641570423,92.388173236897,94.5668532624077,94.539129137785,95.1623712533978,94.931303704079,93.1612376632351,92.2742166693729,90.75964266073,91.8506638267708,87.6249617121315,85.80497395589
