E Scores Descriptive Statistics from 2023 to 2004 
,0
mean,53.362669293316266
std,28.428874033953836
min,2.91005291005291
25%,25.790381742105257
50%,57.74684093547797
75%,76.01599194214023
max,98.5458059150293
