Descriptive Statistics for Financial Companies
Generated: 2025-03-18 20:26:49

               ESG            E            S            G          ROE          ROA      Q_Ratio
count  4189.000000  4189.000000  4189.000000  4189.000000  4189.000000  4189.000000  4189.000000
mean     50.867357    58.390891    55.633259    58.772509     0.147732     0.041762     1.193761
std      18.008947    28.131373    21.653554    22.507857     0.350117     0.378461     7.147459
min       3.521804     0.000000     1.862803     0.837004    -4.488500    -5.020000     0.001704
25%      38.438427    30.670136    39.618629    42.704082     0.078790     0.005600     0.061064
50%      51.068269    64.552150    57.483502    61.805556     0.118000     0.010340     0.137274
75%      64.485756    84.126355    73.188381    77.090312     0.171000     0.030758     0.483476
max      91.235210    99.141594    97.655269    99.207873    12.133700    16.807841   225.359724
