Descriptive Statistics for Technology Companies
Generated: 2025-03-18 20:26:49

               ESG            E            S            G          ROE          ROA       Q_Ratio
count  2149.000000  2149.000000  2149.000000  2149.000000  2149.000000  2149.000000   2149.000000
mean     52.821895    47.030281    57.558396    57.697061     0.227951     0.120561     66.606860
std      18.468136    29.189549    22.439931    21.437382     1.127325     0.224614   1185.087180
min       5.125485     0.000000     1.310716     3.056951   -13.712600    -0.234279      0.037472
25%      39.603731    20.746746    41.517468    42.221085     0.108200     0.059600      0.980577
50%      54.235907    52.199074    59.359278    60.304142     0.176100     0.098490      1.993524
75%      66.675177    71.848068    74.642098    74.500150     0.269200     0.147000      4.100131
max      94.540448    99.096890    98.469631    98.527274    39.711000     7.209832  47735.126143
