Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),0.2407,0.08922000000000001,0.12380000000000001,0.1461,0.16399999999999998,0.1143,0.12240000000000001,0.1211,0.1332,0.1322,0.1264,0.1109,0.1112,0.1009,0.1217,0.1186,0.1162,0.11849,0.10429000000000001,0.10550000000000001
ALVG.DE,Allianz SE,Insurance,XETRA,0.0023,0.00441,0.00687,0.00734,,,0.0084,0.004,0.0077,0.0085,,0.008,0.0086,0.0076,0.0083,0.0083,0.0066,0.006,0.0062,0.0085
ALL.N,Allstate Corp,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.0206,0.0101,0.031,0.024700000000000003,0.013000000000000001,0.0141,0.011699999999999999,0.0054,0.017,0.0213,0.0207,0.019799999999999998,0.0172,0.0223,0.0254,0.029900000000000003,0.1512,0.1431,-0.00268,0.0025
ALLY.N,Ally Financial Inc,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,0.0064,0.006500000000000001,0.0066,0.008199999999999999,0.008199999999999999,0.0063,0.0173,0.0103,0.0048
AXP.N,American Express Co,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",0.0182,0.028300000000000002,0.0291,0.027000000000000003,0.0222,0.014499999999999999,0.0277,,0.0332,0.035,0.0363,0.0344,0.0338,0.030600000000000002,0.034,0.0352,0.015600000000000001,0.04169,0.03549,0.03379
AFG.N,American Financial Group Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",,,,,0.0177,,0.0144,0.0106,0.0084,0.0095,0.0098,0.01,0.0102,,,,0.0105,,,
AIG.N,American International Group Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",,0.0102,,0.0088,-0.0605,,,0.0029,0.012,0.0124,0.0125,0.0058,0.0084,0.0045000000000000005,0.0021,0.008,0.004,0.0075,0.0064,0.0092
AMP.N,Ameriprise Financial Inc,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",,,,0.0089,0.0058,,0.0096,0.009300000000000001,,0.0104,0.0113,0.011699999999999999,0.01,0.0134,0.0155,0.015300000000000001,0.0111,0.01589,0.0163,0.0191
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",0.1257,0.10679999999999999,0.1215,0.132,0.13999,0.11019999999999999,0.1315,0.12390000000000001,0.1177,0.1099,0.109,0.10619999999999999,0.1073,0.11380000000000001,0.1175,0.1103,0.09949999999999999,0.11470000000000001,0.12429,0.1174
AMUN.PA,Amundi SA,Capital Markets,EURONEXT - EURONEXT PARIS,,,,,,,,,,,,0.04034,0.042300000000000004,0.0489,0.047599999999999996,0.0446,0.0362,0.045700000000000005,0.041100000000000005,0.0379
ADI.OQ,Analog Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.1063,0.1378,0.1685,0.1699,0.08410000000000001,0.18774000000000002,0.17453,0.1198,0.11349999999999999,,0.1684,0.1282,0.11359999999999999,0.10710000000000001,0.0917,0.0851,0.0703,0.0975,0.10300000000000001,0.06559999999999999
NLY.N,Annaly Capital Management Inc,Mortgage Real Estate Investment Trusts (REITs),"NEW YORK STOCK EXCHANGE, INC.",0.0149,-0.0005,0.0024,0.0073,0.0191,0.0499,0.018799999999999997,0.0239,0.0131,0.011399999999999999,0.013500000000000002,0.0148,0.0149,0.0137,0.0139,0.012199999999999999,0.014199999999999999,0.02009,0.02189,0.01609
AON.N,Aon PLC,Insurance,"NEW YORK STOCK EXCHANGE, INC.",,0.027149999999999997,,0.0366,0.0381,,,0.0383,0.0466,0.0507,0.057,0.0889,0.0665,,0.0768,0.0791,0.07440000000000001,0.0848,0.0883,0.08699
APO.N,Apollo Global Management Inc,Financial Services,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,0.0876,0.024900000000000002,0.0278,0.1858,0.22769999999999999,-0.013000000000000001,0.1535,0.0554,,,
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),0.1065,0.11560000000000001,0.1379,0.1222,0.1059,0.2284,0.27064,0.2854,0.1934,0.1801,0.2045,0.1493,0.1387,0.1607,0.15689999999999998,0.17329999999999998,0.28059,0.28359,0.275,0.2898
AMAT.OQ,Applied Materials Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.09681,0.17329999999999998,0.1678,0.0934,-0.009899999999999999,0.1079,0.1389,0.0739,0.059500000000000004,0.1042,0.1023,0.1305,0.20739999999999997,0.2457,0.1563,0.1859,0.261,0.2571,0.23678999999999997,0.2214
APP.OQ,Applovin Corp,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,,,,,,,,,,,,,0.030600000000000002,-0.038,0.06339
ACGL.OQ,Arch Capital Group Ltd,Insurance,NASDAQ/NGS (GLOBAL SELECT MARKET),0.039,0.02139,0.0513,0.0542,0.0368,0.0435,0.0315,0.0182,0.020099999999999996,0.0319,0.0297,0.025,0.022000000000000002,,0.028300000000000002,0.0332,0.0137,0.0325,0.03902,0.2396
ARES.N,Ares Management Corp,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,0.0143,0.063,0.056600000000000004,0.015300000000000001,0.0174,0.0196,0.024390000000000002,0.02819,0.065
ANET.N,Arista Networks Inc,Communications Equipment,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,0.1796,0.17670000000000002,0.1671,0.2114,0.2321,0.2165,0.161,0.17469,0.23149,0.26309
AJG.N,Arthur J. Gallagher & Co.,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.0582,0.048780000000000004,0.037599999999999995,0.0435,0.0341,,,0.0393,0.0447,0.0458,0.0437,0.0426,,,,,,,,
AZPN.OQ,Aspen Technology Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),-0.0137,0.08039999999999999,0.1303,0.0739,,,-0.1148,-0.013500000000000002,0.12050000000000001,0.2491,0.3603,0.4239,0.5314,0.6565000000000001,0.41899000000000003,0.2396,0.2659,0.1691,0.0253,0.029500000000000002
GASI.MI,Assicurazioni Generali SpA,Insurance,ELECTRONIC SHARE MARKET,0.0034999999999999996,0.0058,,0.00767,0.0022500000000000003,0.00309,0.00402,0.002,0.0003,0.005600000000000001,,0.0041199999999999995,0.00407,0.004,0.0044,0.0052,0.0039000000000000003,0.005,0.0053,0.01379
AIZ.N,Assurant Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.013999999999999999,0.02,0.0239,0.026000000000000002,0.026000000000000002,,0.0212,,0.0161,0.0159,0.0143,0.0147,0.009300000000000001,0.0070999999999999995,,,,,,
TEAM.OQ,Atlassian Corp,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,,,,,,,0.10279999999999999,0.0747,0.0639,0.0795,0.0892,0.111,0.13769,0.1324,0.13854
ADSK.OQ,Autodesk Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),0.1881,0.2325,0.207,0.20670000000000002,0.185,0.09519999999999999,0.1186,0.1348,0.11939999999999999,0.0866,0.057300000000000004,0.037200000000000004,-0.0215,-0.0239,0.050499999999999996,0.1139,0.13369999999999999,0.14169,0.16,0.16969
AV.L,Aviva PLC,Insurance,LONDON STOCK EXCHANGE,0.0060999999999999995,0.0068000000000000005,0.00797,0.00557,0.0049,,0.00388,,0.0040999999999999995,0.0042,0.0049,0.0055000000000000005,0.005,0.005,0.0053,0.0053,0.005,0.0040999999999999995,0.0055000000000000005,0.0034000000000000002
BESI.AS,BE Semiconductor Industries NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.0008,-0.011200000000000002,0.03483,-0.018349999999999998,-0.01568,,,,,,,0.1116,,,0.10289999999999999,0.1107,0.16449000000000003,0.2748,0.2112,0.17428999999999997
BNPP.PA,BNP Paribas SA,Banks,EURONEXT - EURONEXT PARIS,0.0059,0.00515,0.0053,0.00487,0.00147,0.0028299999999999996,0.00386,0.0031,0.0033,0.0033,,0.0036,0.0038,0.0038,0.0038,0.0039000000000000003,0.003,0.0037,0.0038,0.0043
2388.HK,BOC Hong Kong Holdings Ltd,Banks,HONG KONG EXCHANGES AND CLEARING LTD,0.015343,0.029922,0.03902,0.03751,0.014421999999999999,0.01163,0.01127,0.01202,0.0124,0.012199999999999999,0.011899999999999999,0.011899999999999999,0.0236,0.0115,0.011430000000000001,0.0115,0.00835,0.0066,0.0074,0.009000000000000001
BAM.N,BROOKFIELD ASSET MANAGEMENT LTD,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,,,,,,,,,
